movie title,Run Time,Rating,User Rating,Generes,Overview,Plot Kyeword,Director,Top 5 Casts,Writer,year,path
Kabadayi,2 hours 20 minutes,7.8,22K,"['Action', 'Crime', 'Drama']","Ali Osman is living a quiet life after years of struggle, and tears. And he is slowly slipping into dementia. He made his peace with the horrible life he had and waiting for his final day to come. He then learns a long kept secret about a rebel boy whom happens to be his son. The... Read all","['gay character', 'singer', 'istanbul turkey', 'father son relationship', 'violence', 'throat slitting', 'tanto', 'swearing', 'sexual harassment', 'russian roulette']",Ömer Vargi,"['Sener Sen', 'Kenan Imirzalioglu', 'Ismail Hacioglu', 'Ömer Vargi', 'Yavuz Turgul']",Yavuz Turgul,-2007,/title/tt1051907/
Rudraksh,2 hours 23 minutes,2.7,1.3K,"['Action', 'Fantasy', 'Sci-Fi']","A doctor travels from America to India to investigate a man with paranormal healing powers, and uncovers the existence of a dark power that has the potential to transform humans into a new species.","['nightclub', 'supernatural power', 'good versus evil', 'massage', 'female scientist', 'demon', 'long hair', 'bouncer', 'pseudo science', 'unintentional comedy']",Mani Shankar,"['Sanjay Dutt', 'Bipasha Basu', 'Suniel Shetty', 'Mani Shankar', 'Mani Shankar']",Mani Shankar,-2004,/title/tt0366985/
All the Queen's Men,1 hour 39 minutes,4.7,2.7K,"['Action', 'Comedy', 'Drama']","A mismatched team of British Special Services agents led by an American must infiltrate, in disguise, a female-run Enigma factory in Berlin and bring back the decoding device that will end the war.","['gay character', 'factory', 'gay bar', 'rule book', 'four word title', 'cross dressing', 'secret password', 'rugby', 'tank', 'panzer']",Stefan Ruzowitzky,"['Joseph Manduke', 'June Roberts', 'Eddie Izzard', 'Matt LeBlanc', 'Udo Kier']",Digby Wolfe,-2001,/title/tt0252223/
Wing and a Prayer,1 hour 37 minutes,6.6,1.4K,"['Action', 'Drama', 'War']","In WW2, an American aircraft carrier sails around the Pacific on a decoy mission until it joins the battle of Midway against the Japanese forces.","['aerial shot', 'reference to betty grable', 'reference to greta garbo', 'reference to hollywood', 'reference to superman', 'decoy', 'aircraft carrier', 'urban legend vector', 'oscar statuette', 'movie star']",Henry Hathaway,"['Mortimer Braus', 'Jo Swerling', 'Don Ameche', 'Dana Andrews', 'William Eythe']",Jerome Cady,-1944,/title/tt0037466/
The Reunion,1 hour 30 minutes,5.1,4.1K,"['Action', 'Drama']","4 half siblings stand to inherit $3,000,000 each from their dad, if they work together as family for 2 years. 3 of them go to Mexico as bounty hunters to get a bail-jumper, who's connected to the kidnapping of a billionaire.","['brother sister relationship', 'brother brother relationship', 'younger brother', 'estranged brother', 'death of father', 'male protagonist', 'male and female protagonists', 'sibling team', 'brother brother team', 'brother sister team']",Michael Pavone,"['John Cena', 'Ethan Embry', 'Amy Smart', 'Michael Pavone', 'Michael Pavone']",Michael Pavone,(II) (2011),/title/tt1792543/
Hangfire,not-released,4,355,"['Action', 'Thriller']",A town has been taken hostage. Who will win the battle? Only the mighty will survive.,"['vietnam war veteran', 'one word title', 'film starts with text', 'ambush', 'suspense', 'electronic music score', '1990s', 'modern western', 'low budget film', 'psychotronic film']",Peter Maris,"['Brad Davis', 'Kim Delaney', 'Ken Foree', 'Peter Maris', 'Brian D. Jeffries']",Brian D. Jeffries,-1991,/title/tt0101997/
Gadar: Ek Prem Katha,2 hours 50 minutes,7.2,11K,"['Action', 'Drama', 'Romance']","Set during the Partition of India in 1947, a Sikh truck driver falls in love with a Muslim girl belonging to an aristocratic family.","['muslim', 'year 1947', 'sikh', 'lahore pakistan', 'hand pump', 'driving a train', 'husband wife reunion', 'interfaith romance', 'religious intolerance', 'patriotism']",Anil Sharma,"['Sunny Deol', 'Ameesha Patel', 'Amrish Puri', 'Anil Sharma', 'Shaktimaan Talwar']",Shaktimaan Talwar,-2001,/title/tt0284137/
Romantic,2 hours 15 minutes,4.5,492,"['Action', 'Drama', 'Romance']",A wild journey of sensuality and Love beyond anything.,[],Anil Paduri,"['Anil Paduri', 'A.R. Sreedhar', 'Akash Puri', 'Ketika Sharma', 'Ramya Krishnan']",Puri Jagannadh,-2021,/title/tt9760426/
Deadbeat at Dawn,not-released,6.5,2.3K,"['Action', 'Crime', 'Horror']","One last job separates the leader of the Ravens gang from an early retirement. When he finds his girlfriend beaten to death by members of a rival gang, he seeks revenge, knowing that he may be dead by dawn. Will more blood bring her back?","['gore', 'street gang', 'rivalry', 'blood', 'death of protagonist', 'death of girlfriend', 'train station', 'fistfight', 'brutality', 'revenge']",Jim Van Bebber,"['Paul Harper', 'Jim Van Bebber', 'Megan Murphy', 'Jim Van Bebber', 'Jim Van Bebber']",Jim Van Bebber,-1988,/title/tt0099377/
Untitled Labyrinth Project,not-released,no-rating,0,"['Action', 'Adventure', 'Family']",A mythical princess searches for her father in a perilous labyrinth.,['father'],Scott Derrickson,"['Scott Derrickson', 'Maggie Levin', 'United States', 'TriStar Pictures', 'Sony Pictures Entertainment (SPE)']",Maggie Levin,,/title/tt2833840/
